pattern;pair;population;sample_n
not X, but Y;happy - sad;4;1
both X and Y;right - wrong;28;1
X rather than Y;optimistic - pessimistic;2;1
X rather than Y;large - small;2;1
neither X nor Y;new - old;22;1
X and Y;female - male;108;1
X as well as Y;large - small;2;1
not X, but Y;new - old;1;1
the very X and the very Y;bad - good;1;1
X, not Y;cold - hot;20;1
both X and Y;long - short;8;1
how X or Y;heavy - light;3;1
X or Y;happy - sad;150;1
how X or Y;rural - urban;2;1
neither X nor Y;optimistic - pessimistic;1;1
X as well as Y;poor - rich;3;1
X as well as Y;permanent - temporary;1;1
more X than Y;major - minor;2;1
more X than Y;female - male;36;1
both X and Y;active - passive;10;1
both X and Y;happy - sad;50;1
either X or Y;high - low;8;1
both X and Y;permanent - temporary;9;1
X, not Y;difficult - easy;7;1
between X and Y;active - passive;8;1
X and Y;drunk - sober;150;1
more X than Y;optimistic - pessimistic;5;1
neither X nor Y;false - true;4;1
either X or Y;major - minor;1;1
from X to Y;alive - dead;2;1
from X to Y;happy - sad;11;1
X as well as Y;difficult - easy;4;1
more X than Y;cold - hot;7;1
how X or Y;poor - rich;1;1
from X to Y;large - small;9;1
X or Y;rural - urban;90;1
either too X or too Y;long - short;2;1
between X and Y;fast - slow;1;1
whether X or Y;alive - dead;4;1
from X to Y;private - public;2;1
how X or Y;bad - good;7;1
either too X or too Y;cold - hot;1;1
either X or Y;rural - urban;1;1
X, not Y;right - wrong;4;1
X or Y;feminine - masculine;26;1
more X than Y;false - true;6;1
X and Y alike;active - passive;1;1
X rather than Y;cold - hot;4;1
X and Y;dry - wet;150;1
either X or Y;private - public;7;1
either X or Y;fast - slow;3;1
both X and Y;fast - slow;7;1
X as well as Y;active - passive;1;1
X and Y;private - public;150;1
neither X nor Y;alive - dead;4;1
X and Y;rural - urban;150;1
X or Y;false - true;150;1
both X and Y;hard - soft;19;1
between X and Y;large - small;3;1
X, not Y;fast - slow;5;1
X or Y;high - low;150;1
X and Y;major - minor;136;1
how X or Y;permanent - temporary;3;1
more X than Y;active - passive;15;1
either too X or too Y;new - old;5;1
between X and Y;alive - dead;3;1
X rather than Y;bad - good;3;1
the very X and the very Y;new - old;7;1
X or Y;major - minor;57;1
either too X or too Y;active - passive;1;1
both X and Y;private - public;44;1
X rather than Y;alive - dead;1;1
X and Y;optimistic - pessimistic;150;1
X, not Y;permanent - temporary;3;1
X rather than Y;female - male;1;1
between X and Y;false - true;1;1
X or Y;right - wrong;150;1
X and Y;large - small;150;1
X and Y;feminine - masculine;147;1
X, not Y;hard - soft;13;1
X or Y;optimistic - pessimistic;17;1
between X and Y;long - short;1;1
X as well as Y;fast - slow;1;1
X and Y;long - short;150;1
whether X or Y;permanent - temporary;2;1
both X and Y;false - true;27;1
neither X nor Y;right - wrong;2;1
X or Y;new - old;150;1
X, not Y;alive - dead;11;1
X or Y;permanent - temporary;94;1
whether X or Y;happy - sad;1;1
either X or Y;happy - sad;2;1
between X and Y;new - old;23;1
more X than Y;bad - good;25;1
either X or Y;permanent - temporary;5;1
X and Y;new - old;150;1
either X or Y;optimistic - pessimistic;2;1
X, not Y;false - true;12;1
both X and Y;high - low;19;1
X rather than Y;poor - rich;1;1
more X than Y;new - old;14;0
both X and Y;drunk - sober;4;0
either X or Y;right - wrong;7;0
X, not Y;poor - rich;8;0
neither X nor Y;bad - good;10;0
from X to Y;high - low;15;0
X or Y;dry - wet;150;0
neither X nor Y;dry - wet;2;0
