class	pattern	X_found	Y_found	pair	query	context_pre	costr	context_post
no	X or Y	dead	dying	alive - dead	(\bdead) or (?!alive)(\b\w+)	 Large numbers of 	dead or dying	 trees were present in the forest at the height of the drought in April 1983 (Leigh et al.
yes	X and Y	high	low	high - low	(high) and (low)	 The pattern was the same in species having 	high and low	 mean rates of growth.
no	X and Y	abundant	active	active - passive	(?!passive)(\b\w+) and (\bactive)	 nilotica, was 	abundant and active	 in the midst of massive kills of omena at and below the point where oxygen levels declined toward zero.
yes	X and Y	large	small	large - small	(large) and (small)	 PAR in the understory was higher up to 40 m in from a 100-hectare reserve edge, and soil moisture was lower in the outer 20 m of 	large and small	 reserves than in their centers.
no	X and Y	rich	powerful	poor - rich	(\brich) and (?!poor)(\b\w+)	 There is much criticism of the pursuit of wealth and of undue admiration for the 	rich and powerful	,''which Smith finds the great and most universal cause of the corruption of our moral sentiments.
no	X and Y	difficult	ingenious	difficult - easy	(\bdifficult) and (?!easy)(\b\w+)	 Had he dug more deeply, had he unearthed more recondite truths, had he used 	difficult and ingenious	 methods, he would not have been understood.
no	X and Y	new	marvelous	new - old	(\bnew) and (?!old)(\b\w+)	 Some 	new and marvelous	 project was always in the offing.
no	X and Y	long	varied	long - short	(\blong) and (?!short)(\b\w+)	 Nor can one forget the 	long and varied	 career of Frank Yerby, who-beginning in 1946 with The Foxes of Harrow -- was determined to work within the American popular tradition.
no	X and Y	fast	loose	fast - slow	(\bfast) and (?!slow)(\b\w+)	 " Participants, brought into an isolated setting for a couple of days, have to attend to illogical, dogmatic pronouncements of manipulators, who call themselves coordinators or facilitators and who play 	fast and loose	 with language.
no	X and Y	bad	wasteful	bad - good	(\bbad) and (?!good)(\b\w+)	 I hate to see anything 	bad and wasteful	 happen in it.
yes	X or Y	large	small	large - small	(large) or (small)	 Their identities are intimately interwoven with a recognition of their condition as past and potential victims of some injury, 	large or small	, based on their race.
yes	more X than Y	bad	good	bad - good	more (bad) than (good)	 " Shelby Steele believes that all things considered " affirmative action has shown itself to be 	more bad than good	.
yes	X or Y	good	bad	bad - good	(good) or (bad)	 The conclusion is inescapable that history by quota is not only bad history but will result in very little history, 	good or bad	, being retained by the students subjected to it.
no	X or Y	inner	private	private - public	(?!public)(\b\w+) or (\bprivate)	 play to characterize interpretation as a kind of 	inner or private	 contest between witchcraft and tyranny, which it almost identifies as a war between the feminine and the masculine.
yes	neither X nor Y	alive	dead	alive - dead	neither (alive) nor (dead)	 Indeed these bodies were 	neither alive nor dead	; they floated dizzyingly at the borderline between corps and corpse.
no	X and Y	moral	good	bad - good	(?!bad)(\b\w+) and (\bgood)	 And, invariably, the oppressors will always justify this unequal distribution of resources as 	moral and good	.
no	X and Y	private	parochial	private - public	(\bprivate) and (?!public)(\b\w+)	 In a major address to the National Education Association shortly before the July convention, Clinton told the nation's public school teachers that he is " unalterably opposed " to aiding 	private and parochial	 schools.
no	X and Y	rural	small	rural - urban	(\brural) and (?!urban)(\b\w+)	 A slightly secularized version, widely shared in 	rural and small	 town America, postulated a doomsday conflict between decent, upright folk and radicalism -- alien, satanic, immorality incarnate.
no	X and Y	young	old	new - old	(?!new)(\b\w+) and (\bold)	 The difference between false positive rates of 	young and old	 was significant, z = -1.
no	between X and Y	old	young	new - old	between (\bold) and (?!new)(\b\w+)	 Even though the LNNB corrects for differences in education, because there is a significant difference in education levels 	between old and young	 subjects, a study performed with subjects matched on education may be helpful.
no	X and Y	low	medium	high - low	(\blow) and (?!high)(\b\w+)	 In hypnosis, high hypnotizables exhibited significantly superior performance on the strong signal trials in comparison with low hypnotizables, and performed significantly better on the weak signal trials than did the 	low and medium	 hypnotizables.
no	from X to Y	good	poor	bad - good	from (\bgood) to (?!bad)(\b\w+)	 From left to right, the performance subscale goes 	from good to poor	, reflecting the concept that as satisfaction in accomplishing performance goals decreases, subjective workload increases.
yes	X and Y	high	low	high - low	(high) and (low)	 As can be seen from Table 2, profile analysis revealed that 	high and low	 hostile individuals differed @ @ @ @ @ @ @ @ @ @).
yes	X and Y	high	low	high - low	(high) and (low)	 Profile @ @ @ @ @ @ @ @ @ @ of Coping Questionnaire (WCQ), suggest that 	high and low	 hostile individuals differed in their responses to this questionnaire, as did men and women.
no	X and Y	saline	low	high - low	(?!high)(\b\w+) and (\blow)	 Under 	saline and low	 doses of the drug (1 to 2 mg/kg) the majority of trips are of length 1; length 4 trips are exhibited under higher doses of amphetamine (Mueller et ah 1989a).
yes	X and Y	low	high	high - low	(low) and (high)	 There were no EDF differences between these subdivided 	low and high	 artifact groups.
no	X and Y	poor	wealthy	poor - rich	(\bpoor) and (?!rich)(\b\w+)	 That both the 	poor and wealthy	 end up culturally and spiritually impoverished is seldom educationally addressed.
no	X and Y	new	vital	new - old	(\bnew) and (?!old)(\b\w+)	 (2) How do we nourish and protect the image-making capacity that enables us to bring to birth 	new and vital	 images for discovery and action?
yes	X or Y	rich	poor	poor - rich	(rich) or (poor)	 Absorbing academic content can wait until first grade begins, but the early years are full of experiences that affect the way the mind works and whether it will be 	rich or poor	 in creative forces.
no	X and Y	difficult	dangerous	difficult - easy	(\bdifficult) and (?!easy)(\b\w+)	 " The implementation of any educational system ought to begin with the creation of an environment that protects the child from the 	difficult and dangerous	 obstacles that threaten him in the adult world.
no	X and Y	dry	impartial	dry - wet	(\bdry) and (?!wet)(\b\w+)	 Knowledge is not a 	dry and impartial	 result but rather a cultural practice to which we can only do justice if we share in the way each intentional world participates in the phenomena.
yes	X and Y	private	public	private - public	(private) and (public)	 The sacred power of the dead individuals is gathered together and made part of a literally emblematic symbol that in its dispersed creation, and its concentrated display moves survivors through 	private and public	 resolution of their grief.
no	X and Y	best	right	right - wrong	(?!wrong)(\b\w+) and (\bright)	 In this position, one experiences ethnocentrism when regarding the other -- the strong feeling and belief that one's way of doing and being in the world is the 	best and right	 way.
no	X and Y	wrong	misguided	right - wrong	(\bwrong) and (?!right)(\b\w+)	 The disengaged identity is far from being simply 	wrong and misguided	,.
no	X and Y	new	exotic	new - old	(\bnew) and (?!old)(\b\w+)	 Nonetheless, I find it difficult to discriminate, between the helpful and the obscuring prejudices, particularly when I am or my students are learning something 	new and exotic	.
yes	between X and Y	passive	active	active - passive	between (passive) and (active)	 More precisely, we can point to the distinction 	between passive and active	 ways of expressing the connection between the knower and the known.
yes	X and Y	active	passive	active - passive	(active) and (passive)	 Although experience is sometimes used in a narrower sense, it can be a relational term, an 	active and passive	 term, a term that connotes knowing and other than knowing.
no	X and Y	active	victorious	active - passive	(\bactive) and (?!passive)(\b\w+)	 It deserves careful attention: it is not just an image that awakens the spectator's piety; it is primarily an image for God's piety, of his 	active and victorious	 mercy in Christ.
yes	X and Y	good	bad	bad - good	(good) and (bad)	 Ethical rationality feeds on moral judgments about what is 	good and bad	, right and wrong, just and unjust.
yes	X and Y	right	wrong	right - wrong	(right) and (wrong)	 Ethical rationality feeds on moral judgments about what is good and bad, 	right and wrong	, just and unjust.
yes	X or Y	good	bad	bad - good	(good) or (bad)	 Building a road or staying in power is judged by ethical rationality to be 	good or bad	 according as it helps " unimportant " people gain freedom, respect, or justice.
no	X and Y	small	simple	large - small	(\bsmall) and (?!large)(\b\w+)	 Having been reminded at Christmas or Chanukah of the joys of making 	small and simple	 presents instead of buying them, we might be more likely to reduce consumption voluntarily at other times of the year.
no	X and Y	new	unexpected	new - old	(\bnew) and (?!old)(\b\w+)	 No matter how long I've been a mother, it seems my children can still come up with something 	new and unexpected	 to do to me.
no	X and Y	rich	decayed	poor - rich	(\brich) and (?!poor)(\b\w+)	 Everything is 	rich and decayed	 and tangled.
no	X and Y	sad	ugly	happy - sad	(\bsad) and (?!happy)(\b\w+)	 Everything seemed 	sad and ugly	 (" smeared, bleared with toil ").
no	X and Y	good	rightful	bad - good	(\bgood) and (?!bad)(\b\w+)	 For God, humans are always the 	good and rightful	 recipients of love.
no	X and Y	good	lenient	bad - good	(\bgood) and (?!bad)(\b\w+)	 	good and lenient	.
no	X and Y	hard	painful	hard - soft	(\bhard) and (?!soft)(\b\w+)	 But to the extent that they are 	hard and painful	, they cause humans to experience what seems like the wrath and forgiveness of God (45:256).
no	X and Y	private	liturgical	private - public	(\bprivate) and (?!public)(\b\w+)	 Besides 	private and liturgical	 prayer time, there are times of decision and action in all realms of life that require discernment of spirits.
no	X and Y	present	active	active - passive	(?!passive)(\b\w+) and (\bactive)	 This is true of every good person: no less than God is 	present and active	 in them.
no	X and Y	delicate	difficult	difficult - easy	(?!easy)(\b\w+) and (\bdifficult)	 Once again, this can be a 	delicate and difficult	 matter at times.
no	X and Y	new	creative	new - old	(\bnew) and (?!old)(\b\w+)	 Today, though, this minority tradition is finding 	new and creative	 proponents among both Catholics and Protestants.
