yes	X or Y	bad	indifferent	bad - good	(\bbad) or (?!good)(\b\w+)	 " She's confident with me as the manager, and I plan to communicate with her and offer my assessments of what's going on: good, 	bad or indifferent.
yes	X and Y	small	ribby	large - small	(\bsmall) and (?!large)(\b\w+)	 19 @ @ @ @ @ @ @ @ @ @ just 12 weeks, and Summer Squall, a 	small and ribby	 colt who always outruns his looks, is showing some strain.
yes	X or Y	time	temporary	permanent - temporary	(?!permanent)(\b\w+) or (\btemporary)	 All but two of her staff are part-	time or temporary	 workers.
yes	X and Y	privileged	soft	hard - soft	(?!hard)(\b\w+) and (\bsoft)	 It is largely a class rivalry, with the Teaneck blacks being seen as 	privileged and soft.
yes	X and Y	small	other	large - small	(\bsmall) and (?!large)(\b\w+)	 The witness paid little attention to the gun at the time because it was so 	small and other	 youths were saying derisively, " it's not real, it's a fake.
yes	X and Y	small	cramped	large - small	(\bsmall) and (?!large)(\b\w+)	 The rooms themselves, unfortunately, are 	small and cramped.
yes	X or Y	public	private	private - public	(public) or (private)	 Facing cuts in academic departments and programs, its students andfaculty members are trying something rarely done in higher education, 	public or private.
yes	X or Y	large	complicated	large - small	(\blarge) or (?!small)(\b\w+)	 But when sales are 	large or complicated, or the market is in flux, negotiations may allow the city to sell bonds paying slightly less interest.
yes	X and Y	dry	cool	dry - wet	(\bdry) and (?!wet)(\b\w+)	 The summer was 	dry and cool.
yes	X and Y	true	lasting	false - true	(\btrue) and (?!false)(\b\w+)	 " This is the realpolitik that could produce another war, not a 	true and lasting	 peace.
yes	X and Y	new	improved	new - old	(\bnew) and (?!old)(\b\w+)	 Jesse Jackson won millions of primary votes decrying the " economic violence " of the Reagan years, but party power brokers were so frightened by the Republican Party chairman Lee Atwater's 	new and improved	 version of Mr.
yes	X and Y	low	public	private - public	(?!private)(\b\w+) and (\bpublic)	 Soviet living standards are so 	low and public	 pressure to raise supplies of consumer goods is so overwhelming that the Soviet Government has to adopt sustained cuts in defense.
yes	X and Y	low	public	high - low	(\blow) and (?!high)(\b\w+)	 Soviet living standards are so 	low and public	 pressure to raise supplies of consumer goods is so overwhelming that the Soviet Government has to adopt sustained cuts in defense.
yes	X and Y	large	important	large - small	(\blarge) and (?!small)(\b\w+)	 Mandela - that homicide is a " 	large and important	 health problem, " in the judgment of Dr.
yes	X and Y	poor	middle	poor - rich	(\bpoor) and (?!rich)(\b\w+)	 Bush was willing, however, to accept a gasoline tax and " sin taxes " on whisky, beer and cigarettes - all of which bear down hardest on the 	poor and middle	 class.
yes	X and Y	good	full	bad - good	(\bgood) and (?!bad)(\b\w+)	 Some may come up with higher figures, but this is what we think is a 	good and full	 program to give them the help they need right now.
yes	X and Y	good	valuable	bad - good	(\bgood) and (?!bad)(\b\w+)	 There has been much that is really 	good and valuable	 in it, particularly after the war.
yes	X and Y	important	difficult	difficult - easy	(?!easy)(\b\w+) and (\bdifficult)	 First of all, I think that the work about such 	important and difficult	 points that we did does not only touch our two peoples, but all Europeans, and that it also touches the world public.
yes	X and Y	embarrassing	difficult	difficult - easy	(?!easy)(\b\w+) and (\bdifficult)	 At a minimum, it will be 	embarrassing and difficult.
yes	X and Y	long	vigorous	long - short	(\blong) and (?!short)(\b\w+)	 Teller was still the weapon's primary inventor by virtue of the many ideas he contributed and his 	long and vigorous	 support for its development.
yes	both X and Y	rich	poor	poor - rich	both (rich) and (poor)	 and the National Urban League draw criticism from 	both rich and poor	 blacks.
yes	X and Y	rich	poor	poor - rich	(rich) and (poor)	 and the National Urban League draw criticism from both 	rich and poor	 blacks.
yes	X and Y	old	gray	new - old	(\bold) and (?!new)(\b\w+)	 " I think when I'm 	old and gray, people will say,'This is one of the greatest things you did as Governor,'" Mr.
yes	X and Y	private	public	private - public	(private) and (public)	 Moreover, it was adopted as the model for scores of 	private and public	 psychiatric hospitals.
yes	X and Y	cheap	small	large - small	(?!large)(\b\w+) and (\bsmall)	 Townsend, chief of detectives for the Chicago Police Department, said: " People used to use Saturday night specials, which were 	cheap and small	 and did n't do as much damage as these big guns are doing.
yes	X and Y	long	bumpy	long - short	(\blong) and (?!short)(\b\w+)	 Nixon's supporters about his image as they prepared to open a library that can not avoid the rough spots in his 	long and bumpy	 career.
yes	from X to Y	dormant	active	active - passive	from (?!passive)(\b\w+) to (\bactive)	 They are worried that the number of these cases will rise as people who have become infected with the tuberculosis germ convert 	from dormant to active	 disease as they age.
yes	X and Y	ebullient	optimistic	optimistic - pessimistic	(?!pessimistic)(\b\w+) and (\boptimistic)	 This 	ebullient and optimistic	 man appears distracted.
yes	X and Y	new	resounding	new - old	(\bnew) and (?!old)(\b\w+)	 Friendly, Murrow opened a 	new and resounding	 chapter for himself and for broadcast news.
yes	X and Y	Federal	private	private - public	(?!public)(\b\w+) and (\bprivate)	 And the number of record keepers has risen sharply as hospitals and doctors have scrambled to meet demands for paperwork from 	Federal and private	 insurers.
yes	X and Y	Federal	private	private - public	(?!public)(\b\w+) and (\bprivate)	 They argue that because 	Federal and private	 insurers have in recent decades paid most of the medical bills, patients and health-care providers have seen little reason to hold back on expenses.
yes	X and Y	large	elaborate	large - small	(\blarge) and (?!small)(\b\w+)	 Rather than establishing a 	large and elaborate	 network of branches to solicit deposits, he advertised high interest rates on deposits to attract funds from all over the country by mail, phone and computer.
yes	X and Y	private	public	private - public	(private) and (public)	 After all, roughly 300 	private and public	 high schools in the New York metropolitan area hold proms during the prime prom months of May and June.
yes	X and Y	heavy	slow	heavy - light	(\bheavy) and (?!light)(\b\w+)	 The memory devices were 	heavy and slow.
yes	X and Y	heavy	slow	fast - slow	(?!fast)(\b\w+) and (\bslow)	 The memory devices were 	heavy and slow.
yes	X and Y	large	luxury	large - small	(\blarge) and (?!small)(\b\w+), operations will focus on 	large and luxury	 products.
yes	X and Y	Exhausted	cold	cold - hot	(?!hot)(\b\w+) and (\bcold)	 	Exhausted and cold, the old man and the horse fought their way onto a sand bar that led across a small tributary.
yes	X and Y	new	unified	new - old	(\bnew) and (?!old)(\b\w+)	 Rakowski has strongly endorsed the need for a 	new and unified	 leftist movement - a split would lead to self-destruction.
yes	X and Y	thick	heavy	heavy - light	(?!light)(\b\w+) and (\bheavy)	 I'd worn sweat socks - 	thick and heavy	 - but still the numbing worsened.
yes	X and Y	private	public	private - public	(private) and (public)	 The truth is, we really do need one another if we are going to make it through this life in both our 	private and public	 capacities.
yes	both X and Y	male	female	female - male	both (male) and (female)	 Since Kabuki is traditionally performed only by men, it is necessary for them to perfect the skill of representing 	both male and female	 characters.
yes	X and Y	male	female	female - male	(male) and (female)	 Since Kabuki is traditionally performed only by men, it is necessary for them to perfect the skill of representing both 	male and female	 characters.
yes	X and Y	subtle	slow	fast - slow	(?!fast)(\b\w+) and (\bslow)	 Noh theater produced some of the most serene classic dramas of Japanese literature - plays that are infinitely 	subtle and slow, combining dialogue, poetry, song, chant, music, and dance.
yes	X and Y	private	nonprofit	private - public	(\bprivate) and (?!public)(\b\w+)	 With the help of US and European 	private and nonprofit	 concerns interested in rain forest products (and in halting the forests'destruction), these small communities are extracting materials and selling them abroad.
yes	X and Y	subtle	difficult	difficult - easy	(?!easy)(\b\w+) and (\bdifficult)	 But here we are stumbling around the world, trying to set up communication patterns that are extremely 	subtle and difficult	 for an outsider to learn and break into.
yes	X and Y	cloudy	cold	cold - hot	(?!hot)(\b\w+) and (\bcold)	 It was certain to be 	cloudy and cold	 much of the time wherever your stayed, even in Etretat, beautiful as that is.
yes	X and Y	young	old	new - old	(?!new)(\b\w+) and (\bold)	 More and more, across the United States, college students - 	young and old	 - are opting to let technology instead of people transport information.
yes	X and Y	rich	gooey	poor - rich	(\brich) and (?!poor)(\b\w+)	 real 	rich and gooey	 with a large amount of calories.
yes	X and Y	heavy	practical	heavy - light	(\bheavy) and (?!light)(\b\w+)	 Perhaps all Amsterdammers think their bicycles beautiful, whatever their vintage, however buckled and scraped, however 	heavy and practical.
yes	X and Y	social	public	private - public	(?!private)(\b\w+) and (\bpublic)	 Over the years, city planners have become immersed in 	social and public	 policy issues, shying away from aesthetic values, explains Krieger.
yes	either X or Y	cold	hot	cold - hot	either (cold) or (hot)	 Use lightweight food containers and bring several packs; one for cold items, one for hot, one for the food that does n't need 	either cold or hot, and one for the nonfood items.
yes	X or Y	cold	hot	cold - hot	(cold) or (hot)	 Use lightweight food containers and bring several packs; one for cold items, one for hot, one for the food that does n't need either 	cold or hot, and one for the nonfood items.
yes	X and Y	young	old	new - old	(?!new)(\b\w+) and (\bold)	 His relationship with 	young and old	 family members grows increasingly complex, leading to a conclusion that's remarkably wry, sad, and funny - all at the same time.
yes	X and Y	simple	easy	difficult - easy	(?!difficult)(\b\w+) and (\beasy)	 The French meanwhile were more apt to consider nature as Rousseau had done, in the context of social justice - the English approach was 	simple and easy.
yes	both X and Y	secure	easy	difficult - easy	both (?!difficult)(\b\w+) and (\beasy)	 The locking devices had to be 	both secure and easy.
yes	X and Y	secure	easy	difficult - easy	(?!difficult)(\b\w+) and (\beasy)	 The locking devices had to be both 	secure and easy.
yes	X or Y	good	bad	bad - good	(good) or (bad)	 Still, Nunes says Collor will stay in the newspapers because " he has content, and it does n't matter if it's 	good or bad.
yes	X and Y	difficult	meaningful	difficult - easy	(\bdifficult) and (?!easy)(\b\w+)	 The writers of this book give readers an honest look at what they find exciting and 	difficult and meaningful	 about the art of writing for children.
yes	X and Y	exciting	difficult	difficult - easy	(?!easy)(\b\w+) and (\bdifficult)	 The writers of this book give readers an honest look at what they find 	exciting and difficult	 and meaningful about the art of writing for children.
yes	X or Y	high	primary	high - low	(\bhigh) or (?!low)(\b\w+)	 About half of all parents in Shanghai have only junior 	high or primary	 school education, but the majority expect their children to go to college, official surveys show.
yes	X or Y	hot	spicy	cold - hot	(\bhot) or (?!cold)(\b\w+)	 Bangkok Cuisine, for example, notes on its menu which dishes are 	hot or spicy	 or both (servers have pitchers of water ready!
yes	X and Y	soft	crunchy	hard - soft	(\bsoft) and (?!hard)(\b\w+)	 To this writer, it tastes all at once spicy, sweet, salty, and tangy, with a 	soft and crunchy	 texture (with crushed peanuts added).
yes	X and Y	hot	spicy	cold - hot	(\bhot) and (?!cold)(\b\w+)	 Full-course meals can include: raw fresh vegetables with a dip, soup, a mild dish, a 	hot and spicy	 dish, perhaps a salad, a fried dish (usually fish), and rice.
yes	X and Y	long	thin	long - short	(\blong) and (?!short)(\b\w+)	 Ozal admits that this is " a 	long and thin	 path " that needs a lot of patience and effort.
yes	X and Y	nice	easy	difficult - easy	(?!difficult)(\b\w+) and (\beasy)	 Since the run was n't a race, I told the kids to take it 	nice and easy, but several were eager to show their prowess and took off quickly.
yes	X and Y	alive	well	alive - dead	(\balive) and (?!dead)(\b\w+)	 One plankton-eating cichlid believed to be extinct in the lake is 	alive and well	 at the aquarium, as well as at the University of Leien in the Netherlands and the Oklahoma City Zoo.
yes	X and Y	fast	efficient	fast - slow	(\bfast) and (?!slow)(\b\w+)	 West Germany's postwar prosperity enabled it to build a 	fast and efficient	 transport system.
yes	X and Y	slow	favored	fast - slow	(\bslow) and (?!fast)(\b\w+)	 That policy, officials say, hurt the economy because it was 	slow and favored	 bulk goods.
yes	X and Y	female	single	female - male	(\bfemale) and (?!male)(\b\w+)	 If you're 	female and single, come visit me and see what it's like in the winter.
yes	X and Y	difficult	awkward	difficult - easy	(\bdifficult) and (?!easy)(\b\w+)	 It's a 	difficult and awkward	 status, this waiting: lots of TV-watching, lots of walking the neighborhood streets, lots of boredom.
yes	X or Y	good	bad	bad - good	(good) or (bad)	 Grant, in terms of a nation's concern and its resources - whether times are 	good or bad.
yes	X and Y	large	small	large - small	(large) and (small)	 there was an ownership and strength that you can not get @ @ @ @ @ @ @ @ @ @ 	large and small, do n't come without obstacles and challenges.
yes	X and Y	rich	famous	poor - rich	(\brich) and (?!poor)(\b\w+)	 Besides going to bat for the 	rich and famous	 of sports, he represents violinist Itzhak Perlman, former @ @ @ @ @ @ @ @ @ @ the Block rock group.
yes	X or Y	difficult	inaccessible	difficult - easy	(\bdifficult) or (?!easy)(\b\w+)	 Mauceri wants to broaden the standard classical fare offered at Bowl concerts here and on tour to popularize composers'works previously considered 	difficult or inaccessible	 - among them Schoenberg, Hindemith, and Berlioz.
yes	X and Y	warm	wet	dry - wet	(?!dry)(\b\w+) and (\bwet)	 It touches your body everywhere, drapes over your head and torso: a 	warm and wet	 electric blanket you ca n't rip off.
yes	X or Y	excellent	good	bad - good	(?!bad)(\b\w+) or (\bgood)	 For example, the California Poll for October 4-9 found 54 percent of Californians rating Bush's job performance as 	excellent or good, 30 percent as fair, and just 15 percent as poor.
yes	X and Y	incredible	active	active - passive	(?!passive)(\b\w+) and (\bactive)	 " But this is a whole new world that no one ever sees; and it's even more 	incredible and active	 than what you can see on land.
yes	from X to Y	low	high	high - low	from (low) to (high)	 But it seems certain that with each change Yellowstone's uneasy terrain wreaks on the thermal plumbing, at least some creatures - 	from low to high	 in the food chain - will likely be affected.
yes	X or Y	old	new	new - old	(old) or (new)	 In fact, the author often brings Rabbit's memories of a more innocent America to a screeching halt with one of Rabbit's crude, anti-erotic descriptions of 	old or new	 passion.
yes	X and Y	corporate	private	private - public	(?!public)(\b\w+) and (\bprivate)	 Donations, including million-dollar 	corporate and private	 grants, ensured the company's return.
yes	X and Y	fast	high	high - low	(?!low)(\b\w+) and (\bhigh)	 In the Midwest, things were n't going up quite as 	fast and high, and I think the fall is n't going to be quite as deep and hard.
yes	X and Y	fast	high	fast - slow	(\bfast) and (?!slow)(\b\w+)	 In the Midwest, things were n't going up quite as 	fast and high, and I think the fall is n't going to be quite as deep and hard.
yes	X and Y	small	polluted	large - small	(\bsmall) and (?!large)(\b\w+)	 While in China, I thought the 	small and polluted	 world my friends lived in was something to which I would never have to return.
yes	X and Y	small	large	large - small	(small) and (large)	 The most common mistake made by publishers - 	small and large	 - is cutting corners on costs of covers.
yes	X and Y	thick	heavy	heavy - light	(?!light)(\b\w+) and (\bheavy)	 The red was 	thick and heavy	 and evinced regal mystique; the green.
yes	X and Y	hot	spicy	cold - hot	(\bhot) and (?!cold)(\b\w+)	 It is delicate, not 	hot and spicy, and it is flavorful and sweet, just like the people.
yes	X, not Y	delicate	hot	cold - hot	(?!cold)(\b\w+), not (\bhot)	 It is 	delicate, not hot	 and spicy, and it is flavorful and sweet, just like the people.
yes	from X to Y	urban	rural	rural - urban	from (urban) to (rural)	 This was a railroad because you could go on a complete journey, 	from urban to rural	 landscape and back.
yes	X and Y	active	creative	active - passive	(\bactive) and (?!passive)(\b\w+)	 Recapitulating and expanding on his earlier " The Great Code, " Frye's new Words with Power shows how the Bible " demands the 	active and creative	 response that the imagination makes to literature and mythology.
yes	X or Y	good	bad	bad - good	(good) or (bad)	 Is it 	good or bad, and why?
