sent_id;class;pattern;X_found;Y_found;pair;context_pre;costr;context_post;antonymous_value
44144;no;X and Y;abundant;active;active - passive; These levels of soil moisture would severely limit life in nearly all soil ecosystems, yet we recovered ;abundant and active; nematode populations of S.;
23176;no;X and Y;active;collaborative;active - passive; In addition, ;active and collaborative; learning approaches are highly valued.;
4826;no;X and Y;active;participative;active - passive; 2) How ;active and participative; do you plan to be during the event?;
46540;no;X and Y;contemplative;active;active - passive; Thomas believed that teaching could belong to both the ;contemplative and active; forms of life, since the active life in teaching flows from the richness of contemplation about teaching.;
28434;no;X and Y;strong;active;active - passive; Let us move forward with ;strong and active; faith.;
14012;no;X and Y;dominant;active;active - passive; Enfield also has a very ;dominant and active; Catholic population that would respond well to a Romney visit, particularly given Obama's front assault on the Catholic Church.;
53375;no;X and Y;passive;inefficient;active - passive;), but that method seems too ;passive and inefficient;.;
6196;no;X and Y;independent;active;active - passive; ALMOST PERFECT: While true Four-Bar suspension produces a slightly more ;independent and active; ride, this modified version provides a great balance between price, weight and performance.;
36967;no;X and Y;positive;active;active - passive; TUNEL-;positive and active; caspase-3 positive cells were lower in the I/R + LA group when compared to I and I/R groups, and it was seen that the pretreatment had a positive effect.;
47826;no;X and Y;ultrasonic;passive;active - passive; Using a dual-detection ;ultrasonic and passive; infrared sensory system, the SCOUT-ABOUT alerts an automatic digital dialer by way of radio signals if t detects body heat, motion, a consistent change in air temperature, or shattering glass.;
35928;no;X and Y;active;visible;active - passive;" Some "" experts "" who were mainstays of "" anti-cult "" litigation are rather less ";active and visible; in recent litigation.;
51191;no;X and Y;active;other;active - passive; You know that following your natural cues and desires makes you feel better -- and this goes for more than just eating, but for being ;active and other; forms of self-care as well.;
30495;no;X and Y;active;powerful;active - passive; New Bern is a town with an ;active and powerful; historic preservation society, and it shows.;
2724;no;X and Y;active;informative;active - passive;" "" Ran across some nice nuggets of info on the Parsing the WAC blog, which I must say is a very ";active and informative; one.;
51433;no;X and Y;active;outgoing;active - passive; Young boys were usually ;active and outgoing;.;
30492;no;X and Y;informed;active;active - passive; Nevertheless, when he assumed the Presidency in 1901, he became the first Chief Executive to play an ;informed and active; role in the conservation movement.;
3153;no;X and Y;intelligent;active;active - passive;" "" The intellectual potential of the nation is being washed away, as the most mobile, ";intelligent and active; are leaving.;
13895;no;X and Y;passive;regurgitative;active - passive; Education has become too ;passive and regurgitative;.;
19546;no;X and Y;active;fun;active - passive; I also met with some pro-;active and fun; interns who happened to party as hard as they worked.;
24520;no;X and Y;speaking;active;active - passive; Instead, the two relate to each other in such a way that allows for the creation of two ;speaking and active; agents who are disengaged, however momentarily, from the practicalities and constraints of everyday life.;
51902;no;X and Y;present;active;active - passive; ensiter is ;present and active; during daylight as well as darkness, often occurring in swarms, with more than 150 individuals visible in a single frame.;
31877;no;X and Y;active;retired;active - passive; One of the most treasured was fully paid health coverage for ;active and retired; workers, considered one of Mr.;
13234;no;X and Y;literate;active;active - passive; Democracies need a free press, ;literate and active; population, rule of law, a constitution, checks and balances, and even a functioning economy to help them remain stable.;
22797;no;X and Y;buff;active;active - passive; If you're ;buff and active;, your body will use them fast, but if you're a couch potato, the triglycerides will go right to your hips, Bennett says.;
47686;no;X and Y;active;athletic;active - passive; Unlike Egyptian figures, which were meant to express an unchanging eternal, this @ @ @ @ @ @ @ @ @ @ harmonious of face and body, and above all ;active and athletic;.;
16546;no;X and Y;passive;aggressive;active - passive; He alternately assumes the ;passive and aggressive;" role with El Cardenal, turning on "" feminine "" charm when it appears to render him a better result.";
39259;no;X and Y;active;complete;active - passive; The credit reporting industry would have to sell its services to the public-presumably by promising more accurate, open reporting practices and by calling attention to the benefits of having an ;active and complete; credit record.;
12454;no;X and Y;active;positive;active - passive; China's Environmental Issues in an International Context In order to enhance its prestige in the international community, it is crucial that China pursue an ;active and positive; role in promoting environmental protection.;
23686;no;X and Y;innovative;active;active - passive; In other areas, notably Yellowstone and Prince William Sound, there are ;innovative and active; programs being developed to move toward more integrated and cooperative management of the whole ecosystem.;
49455;no;X and Y;active;deep;active - passive; When exhausted, kids actually sleep less well -- their ;active and deep; sleep cycles are disturbed, with their body always trying to play catch - up.;
23460;no;X and Y;active;comfortable;active - passive; In fact, technology will allow us to look forward to ;active and comfortable; retirements well into our 80s.;
47629;no;X and Y;active;creative;active - passive; Unfortunately many community colleges do not take such an ;active and creative; approach to developing funding, and there are few examples of institution-based aid programs in operation today.;
36132;no;X and Y;active;productive;active - passive; Some women have become ;active and productive; traders, some sell only small amounts, and others only purchase goods from other traders without actually producing goods for trade.;
8970;no;X and Y;active;effective;active - passive; As a result, the teachers are more likely themselves to become ;active and effective; leaders within the education community.;
24198;no;X and Y;active;recent;active - passive; In this image from the Galileo spacecraft, the dark areas represent the areas of ;active and recent; volcanism.;
42564;no;X and Y;dynamic;active;active - passive; The two-year colleges of this country and the thousands of student-athletes attending those institutions have greatly benefitted from a ;dynamic and active; organization, whose only purpose has been to serve and enhance its constituency.;
4748;no;X and Y;active;restless;active - passive; 12-24 hours before whelping occurs, the mother loses her appetite, becomes more ;active and restless;, and may dig in the garden or in the house.;
4611;no;X and Y;healthy;active;active - passive; // IN 1997 we produced a thirty-page report on all the ways women can stay ;healthy and active; throughout their lives.;
45908;no;X and Y;active;reflective;active - passive; This is no passive withdrawal but an ;active and reflective; cyclical process engaged in until the visual work, as well as the healing work, is completed.;
9102;no;X and Y;active;engaged;active - passive; As long as health permits, Sue and I plan to be ;active and engaged; philanthropists.;
2411;no;X and Y;exuberant;active;active - passive;" "" Lass appeared to be an ";exuberant and active; dog: as soon as she entered the exam room she began to literally bounce off the walls.;
7448;no;X and Y;attractive;active;active - passive; An ;attractive and active; bachelor, the Colonel never married.;
13694;no;X and Y;active;visible;active - passive; Due to today's greater accessibility, they're an ;active and visible; part of society.;
38123;no;X and Y;active;inappropriate;active - passive;" The Internet Society, which represents the engineers around the world who keep the Internet functioning, says this proposal "" would require member states to take on a very ";active and inappropriate;" role in patrolling "" the Internet.";
15776;no;X and Y;active;capable;active - passive; From my mid-life vantage point, I see my mother as remarkably ;active and capable;.;
33334;no;X and Y;interested;active;active - passive; Professor May was a zoologist, and appears now to be mainly ;interested and active; in the politics of science.;
13907;no;X and Y;active;protective;active - passive; Efforts have been made to isolate and purify the ;active and protective; components of mushrooms.;
28938;no;X and Y;active;critical;active - passive; Maintaining responsibility at more local levels will require that the technology educator play an ;active and critical; role in all phases of development, delivery, and assessment.;
4779;no;X and Y;personal;active;active - passive; 162 The contents of these cognitional activities are the ;personal and active; products of the individual.;
46475;no;X and Y;interested;active;active - passive; This will depend on the number of Chinese collectors ;interested and active; in these fields in London, New York and Paris.;
36233;no;X and Y;active;cooperative;active - passive; Sometimes instructors who are effective lecturers get lower student ratings when they start using ;active and cooperative; learning methods.;
36809;no;X and Y;off;passive;active - passive; Sulky also comes in two modes, ticked-;off and passive;.;
