pattern	pair	count
X e Y	grande - piccolo	5027
X e Y	corto - lungo	3125
X e Y	nuovo - vecchio	2581
X e Y	caldo - freddo	2278
X e Y	alto - basso	2047
X e Y	povero - ricco	1784
X e Y	lento - veloce	1663
X e Y	difficile - facile	1661
X e Y	duro - morbido	1571
X e Y	leggero - pesante	1488
X e Y	felice - triste	1424
X e Y	buono - cattivo	1102
X e Y	privato - pubblico	977
X e Y	falso - vero	835
X e Y	morto - vivo	760
X e Y	giusto - sbagliato	711
X e Y	attivo - passivo	579
X o Y	maggiore - minore	446
X e Y	asciutto - bagnato	436
X e Y	femminile - mascolino	419
X o Y	falso - vero	339
X e Y	permanente - temporaneo	307
X ma Y	grande - piccolo	284
X e Y	rurale - urbano	260
X e Y	maggiore - minore	243
X e Y	sobrio - ubriaco	217
X o Y	privato - pubblico	210
X o Y	nuovo - vecchio	158
X ma Y	lento - veloce	157
X o Y	grande - piccolo	143
a X e Y	corto - lungo	113
X e Y	ottimista - pessimista	93
X o Y	corto - lungo	82
X o Y	felice - triste	80
X o Y	buono - cattivo	79
X o Y	alto - basso	77
X o Y	giusto - sbagliato	73
X o Y	difficile - facile	72
X ma Y	difficile - facile	72
X ma Y	povero - ricco	65
X ma Y	leggero - pesante	64
X o Y	permanente - temporaneo	64
X ma Y	falso - vero	61
X o Y	caldo - freddo	58
X ma Y	duro - morbido	55
X ma Y	felice - triste	55
X o Y	femminile - mascolino	51
X o Y	morto - vivo	45
X o Y	povero - ricco	42
X ma Y	corto - lungo	37
X o Y	leggero - pesante	35
X o Y	duro - morbido	34
X ma Y	nuovo - vecchio	33
X e Y	femminile - maschile	32
a X e Y	grande - piccolo	32
X ma Y	buono - cattivo	30
X ma Y	caldo - freddo	29
X o Y	lento - veloce	28
X ma Y	alto - basso	27
X ma Y	giusto - sbagliato	26
X ma Y	privato - pubblico	26
X o Y	rurale - urbano	24
X o Y	attivo - passivo	23
X ma Y	sobrio - ubriaco	22
X , non Y	nuovo - vecchio	21
X , non Y	privato - pubblico	21
X ma Y	morto - vivo	19
X , non Y	difficile - facile	19
sia X che Y	femminile - mascolino	16
sia X sia Y	femminile - mascolino	15
a X e Y	nuovo - vecchio	15
X ma Y	permanente - temporaneo	14
X o Y	asciutto - bagnato	14
tanto X quanto Y	difficile - facile	14
X , non Y	alto - basso	14
sia X che Y	privato - pubblico	13
X o Y	sobrio - ubriaco	13
X , non Y	falso - vero	13
X ma Y	maggiore - minore	11
X ma Y	attivo - passivo	11
sia X sia Y	privato - pubblico	10
X , non Y	giusto - sbagliato	9
tanto X quanto Y	grande - piccolo	9
X , non Y	caldo - freddo	9
a X e Y	alto - basso	9
X , non Y	corto - lungo	9
tra X e Y	femminile - mascolino	9
tra X e Y	grande - piccolo	9
X , non Y	buono - cattivo	8
X , non Y	grande - piccolo	8
X , non Y	leggero - pesante	8
X ma Y	asciutto - bagnato	7
tanto X quanto Y	maggiore - minore	6
X , non Y	maggiore - minore	6
non X ma Y	grande - piccolo	6
tra X e Y	nuovo - vecchio	5
tanto X quanto Y	falso - vero	5
tra X e Y	privato - pubblico	5
tanto X quanto Y	povero - ricco	5
non X ma Y	difficile - facile	5
non X ma Y	alto - basso	5
X , non Y	attivo - passivo	4
X , non Y	felice - triste	4
tra X e Y	corto - lungo	4
X , non Y	duro - morbido	4
tanto X quanto Y	nuovo - vecchio	4
non X ma Y	povero - ricco	3
sia X che Y	rurale - urbano	3
o X o Y	felice - triste	3
sia X che Y	nuovo - vecchio	3
tanto X quanto Y	lento - veloce	3
tanto X quanto Y	giusto - sbagliato	3
X o Y	ottimista - pessimista	3
a X e Y	difficile - facile	3
X , non Y	femminile - mascolino	3
X ma Y	femminile - mascolino	3
X , non Y	povero - ricco	3
a X e Y	lento - veloce	3
X , non Y	morto - vivo	3
o X o Y	corto - lungo	2
sia X sia Y	duro - morbido	2
tanto X quanto Y	caldo - freddo	2
sia X che Y	permanente - temporaneo	2
tanto X quanto Y	felice - triste	2
X ma Y	femminile - maschile	2
o X o Y	povero - ricco	2
tra X e Y	buono - cattivo	2
a X e Y	giusto - sbagliato	2
tra X e Y	falso - vero	2
o X o Y	grande - piccolo	2
non X ma Y	giusto - sbagliato	2
non X ma Y	attivo - passivo	2
non X ma Y	falso - vero	2
o X o Y	buono - cattivo	2
non X ma Y	buono - cattivo	2
tra X e Y	leggero - pesante	2
a X e Y	maggiore - minore	2
X , non Y	lento - veloce	2
meno X che Y	falso - vero	2
non X ma Y	lento - veloce	2
tra X e Y	giusto - sbagliato	2
tanto X quanto Y	buono - cattivo	1
tanto X quanto Y	corto - lungo	1
X ma Y	ottimista - pessimista	1
tanto X quanto Y	duro - morbido	1
tanto X quanto Y	alto - basso	1
X , non Y	ottimista - pessimista	1
X invece_che Y	nuovo - vecchio	1
tanto X quanto Y	femminile - mascolino	1
X al_posto_di Y	falso - vero	1
X , non Y	sobrio - ubriaco	1
X , non Y	rurale - urbano	1
tanto X quanto Y	ottimista - pessimista	1
tanto X quanto Y	privato - pubblico	1
tra X e Y	attivo - passivo	1
sia X sia Y	morto - vivo	1
X , non Y	permanente - temporaneo	1
X o Y	femminile - maschile	1
a X e Y	privato - pubblico	1
sia X sia Y	giusto - sbagliato	1
X , non Y	asciutto - bagnato	1
a X e Y	povero - ricco	1
non X ma Y	caldo - freddo	1
non X ma Y	femminile - mascolino	1
a X e Y	leggero - pesante	1
o X o Y	alto - basso	1
o X o Y	caldo - freddo	1
o X o Y	difficile - facile	1
o X o Y	falso - vero	1
o X o Y	giusto - sbagliato	1
o X o Y	lento - veloce	1
o X o Y	nuovo - vecchio	1
o X o Y	permanente - temporaneo	1
o X o Y	privato - pubblico	1
sia X che Y	buono - cattivo	1
sia X che Y	corto - lungo	1
sia X che Y	duro - morbido	1
sia X che Y	falso - vero	1
sia X che Y	femminile - maschile	1
a X e Y	felice - triste	1
sia X che Y	grande - piccolo	1
sia X che Y	morto - vivo	1
a X e Y	falso - vero	1
da X a Y	rurale - urbano	1
a X e Y	caldo - freddo	1
sia X sia Y	alto - basso	1
sia X sia Y	caldo - freddo	1
sia X sia Y	falso - vero	1
tra X e Y	rurale - urbano	1
