sent_id	class	pattern	X_found	Y_found	pair	query	context_pre	costr	context_post	text
44144	no	X and Y	abundant	active	active - passive	(?!passive)(\b\w+) and (\bactive)	 These levels of soil moisture would severely limit life in nearly all soil ecosystems, yet we recovered 	abundant and active	 nematode populations of S.	 These levels of soil moisture would severely limit life in nearly all soil ecosystems, yet we recovered  abundant and active  nematode populations of S.
23176	no	X and Y	active	collaborative	active - passive	(\bactive) and (?!passive)(\b\w+)	 In addition, 	active and collaborative	 learning approaches are highly valued.	 In addition,  active and collaborative  learning approaches are highly valued.
4826	no	X and Y	active	participative	active - passive	(\bactive) and (?!passive)(\b\w+)	 2) How 	active and participative	 do you plan to be during the event?	 2) How  active and participative  do you plan to be during the event?
46540	no	X and Y	contemplative	active	active - passive	(?!passive)(\b\w+) and (\bactive)	 Thomas believed that teaching could belong to both the 	contemplative and active	 forms of life, since the active life in teaching flows from the richness of contemplation about teaching.	 Thomas believed that teaching could belong to both the  contemplative and active  forms of life, since the active life in teaching flows from the richness of contemplation about teaching.
28434	no	X and Y	strong	active	active - passive	(?!passive)(\b\w+) and (\bactive)	 Let us move forward with 	strong and active	 faith.	 Let us move forward with  strong and active  faith.
14012	no	X and Y	dominant	active	active - passive	(?!passive)(\b\w+) and (\bactive)	 Enfield also has a very 	dominant and active	 Catholic population that would respond well to a Romney visit, particularly given Obama's front assault on the Catholic Church.	 Enfield also has a very  dominant and active  Catholic population that would respond well to a Romney visit, particularly given Obama's front assault on the Catholic Church.
53375	no	X and Y	passive	inefficient	active - passive	(\bpassive) and (?!active)(\b\w+)	), but that method seems too 	passive and inefficient	.	), but that method seems too  passive and inefficient .
6196	no	X and Y	independent	active	active - passive	(?!passive)(\b\w+) and (\bactive)	 ALMOST PERFECT: While true Four-Bar suspension produces a slightly more 	independent and active	 ride, this modified version provides a great balance between price, weight and performance.	 ALMOST PERFECT: While true Four-Bar suspension produces a slightly more  independent and active  ride, this modified version provides a great balance between price, weight and performance.
36967	no	X and Y	positive	active	active - passive	(?!passive)(\b\w+) and (\bactive)	 TUNEL-	positive and active	 caspase-3 positive cells were lower in the I/R + LA group when compared to I and I/R groups, and it was seen that the pretreatment had a positive effect.	 TUNEL- positive and active  caspase-3 positive cells were lower in the I/R + LA group when compared to I and I/R groups, and it was seen that the pretreatment had a positive effect.
47826	no	X and Y	ultrasonic	passive	active - passive	(?!active)(\b\w+) and (\bpassive)	 Using a dual-detection 	ultrasonic and passive	 infrared sensory system, the SCOUT-ABOUT alerts an automatic digital dialer by way of radio signals if t detects body heat, motion, a consistent change in air temperature, or shattering glass.	 Using a dual-detection  ultrasonic and passive  infrared sensory system, the SCOUT-ABOUT alerts an automatic digital dialer by way of radio signals if t detects body heat, motion, a consistent change in air temperature, or shattering glass.
35928	no	X and Y	active	visible	active - passive	(\bactive) and (?!passive)(\b\w+)	" Some "" experts "" who were mainstays of "" anti-cult "" litigation are rather less "	active and visible	 in recent litigation.	" Some "" experts "" who were mainstays of "" anti-cult "" litigation are rather less  active and visible  in recent litigation."
51191	no	X and Y	active	other	active - passive	(\bactive) and (?!passive)(\b\w+)	 You know that following your natural cues and desires makes you feel better -- and this goes for more than just eating, but for being 	active and other	 forms of self-care as well.	 You know that following your natural cues and desires makes you feel better -- and this goes for more than just eating, but for being  active and other  forms of self-care as well.
30495	no	X and Y	active	powerful	active - passive	(\bactive) and (?!passive)(\b\w+)	 New Bern is a town with an 	active and powerful	 historic preservation society, and it shows.	 New Bern is a town with an  active and powerful  historic preservation society, and it shows.
2724	no	X and Y	active	informative	active - passive	(\bactive) and (?!passive)(\b\w+)	" "" Ran across some nice nuggets of info on the Parsing the WAC blog, which I must say is a very "	active and informative	 one.	" "" Ran across some nice nuggets of info on the Parsing the WAC blog, which I must say is a very  active and informative  one."
51433	no	X and Y	active	outgoing	active - passive	(\bactive) and (?!passive)(\b\w+)	 Young boys were usually 	active and outgoing	.	 Young boys were usually  active and outgoing .
